User ID,Gender,Age,Activity Level,Location,App Sessions,Distance Travelled (km),Calories Burned
174,Female,59,Moderate,Urban,145,140,544
175,Female,42,Active,Suburban,179,128,439
176,Male,33,Active,Suburban,155,145,735
177,Female,34,Sedentary,Urban,67,45,252
178,Male,45,Moderate,Rural,119,96,514
179,Female,56,Active,Urban,153,152,643
180,Male,22,Sedentary,Suburban,62,43,222
181,Female,18,Moderate,Urban,137,107,684
182,Female,20,Moderate,Suburban,125,73,443
183,Male,41,Active,Rural,192,115,694
184,Male,46,Active,Rural,159,150,485
185,Male,32,Active,Rural,195,191,468
186,Male,21,Active,Suburban,191,112,627
187,Male,18,Moderate,Rural,114,75,326
188,Female,32,Active,Urban,151,87,410
189,Female,41,Active,Rural,158,144,459
190,Male,48,Active,Suburban,195,98,789
191,Male,37,Moderate,Urban,107,53,423
192,Male,27,Sedentary,Urban,90,70,312
193,Female,28,Sedentary,Urban,70,69,243
194,Female,35,Moderate,Urban,127,116,477
195,Male,51,Sedentary,Suburban,97,91,197
196,Female,45,Moderate,Rural,141,110,701
197,Male,55,Active,Urban,173,90,530
198,Female,33,Sedentary,Rural,52,36,199
199,Male,41,Moderate,Rural,121,70,407
200,Male,56,Moderate,Rural,121,63,472
201,Female,29,Active,Rural,152,85,322
202,Female,59,Moderate,Suburban,117,85,328
203,Male,24,Sedentary,Urban,66,56,260
204,Male,53,Active,Urban,154,108,616
205,Female,34,Moderate,Rural,116,114,444
206,Male,21,Active,Urban,190,137,721
207,Male,54,Moderate,Rural,138,107,481
208,Male,50,Sedentary,Suburban,65,36,147
209,Male,36,Sedentary,Urban,53,37,214
210,Male,43,Active,Rural,176,157,746
211,Male,28,Moderate,Urban,146,103,517
212,Female,48,Active,Rural,162,103,572
213,Female,18,Active,Urban,150,142,329
214,Male,57,Sedentary,Suburban,80,55,330
215,Male,53,Active,Urban,152,87,698
216,Female,46,Moderate,Suburban,115,85,346
217,Male,42,Sedentary,Suburban,70,39,319
218,Female,35,Moderate,Rural,112,72,224
219,Female,20,Active,Rural,157,93,456
220,Male,35,Sedentary,Urban,68,58,166
221,Male,24,Moderate,Suburban,141,71,402
222,Male,45,Moderate,Rural,124,92,491
223,Female,34,Active,Suburban,161,96,534
224,Female,42,Moderate,Suburban,128,85,419
225,Male,35,Active,Suburban,189,173,440
226,Male,57,Active,Urban,164,111,506
227,Male,20,Active,Suburban,160,136,332
228,Female,42,Active,Suburban,172,140,473
229,Male,24,Sedentary,Urban,57,45,120
230,Female,27,Moderate,Urban,142,101,689
231,Male,36,Moderate,Rural,127,87,413
232,Male,32,Sedentary,Suburban,74,52,368
233,Female,38,Active,Suburban,191,118,462
234,Female,38,Active,Urban,191,164,471
235,Female,54,Active,Urban,177,123,768
236,Female,45,Active,Rural,176,153,827
237,Female,49,Sedentary,Urban,94,90,208
238,Female,58,Moderate,Urban,144,86,705
239,Male,44,Active,Urban,189,96,506
240,Female,40,Active,Urban,173,128,372
241,Male,27,Active,Rural,158,95,407
242,Male,57,Moderate,Suburban,138,123,471
243,Male,58,Moderate,Suburban,128,108,411
244,Female,23,Sedentary,Suburban,86,71,407
245,Female,41,Moderate,Suburban,128,68,522
246,Male,35,Moderate,Suburban,101,53,339
247,Male,27,Active,Urban,188,165,885
248,Male,32,Moderate,Suburban,122,87,330
249,Female,51,Active,Urban,197,195,602
250,Male,25,Sedentary,Suburban,96,57,449
251,Female,52,Active,Suburban,166,162,355
252,Male,44,Sedentary,Urban,56,46,255
253,Female,42,Moderate,Suburban,132,101,564
254,Female,20,Sedentary,Urban,59,39,168
255,Male,38,Active,Rural,164,84,521
256,Female,56,Moderate,Rural,142,105,352
257,Male,49,Moderate,Rural,114,92,532
258,Male,38,Active,Suburban,182,91,823
259,Male,26,Moderate,Suburban,141,110,610
260,Male,18,Active,Suburban,169,97,715
261,Male,21,Sedentary,Suburban,72,64,323
262,Female,21,Sedentary,Urban,76,64,181
263,Male,43,Moderate,Rural,102,62,314
264,Female,51,Active,Urban,180,126,770
265,Male,44,Active,Rural,196,121,914
266,Male,32,Sedentary,Rural,76,46,167
267,Female,49,Active,Urban,163,127,483
268,Male,58,Moderate,Urban,145,95,523
269,Male,24,Moderate,Urban,112,88,342
270,Female,31,Sedentary,Rural,58,45,269
271,Female,40,Active,Urban,198,140,765
272,Male,18,Moderate,Suburban,112,76,380
273,Male,49,Moderate,Urban,127,86,629
274,Male,58,Moderate,Rural,141,140,329
275,Male,43,Active,Rural,164,158,370
276,Male,26,Sedentary,Urban,57,48,176
277,Male,33,Sedentary,Urban,55,36,161
278,Male,48,Moderate,Rural,140,90,421
279,Male,19,Sedentary,Rural,94,79,340
280,Male,49,Moderate,Urban,118,67,476
281,Female,27,Moderate,Suburban,146,108,424
282,Female,42,Active,Suburban,166,89,465
283,Male,35,Moderate,Suburban,114,113,279
284,Female,51,Moderate,Rural,145,141,395
285,Female,46,Active,Suburban,190,171,393
286,Male,41,Active,Suburban,150,147,464
287,Female,20,Sedentary,Urban,98,96,328
288,Female,32,Active,Urban,155,87,552
289,Female,20,Moderate,Suburban,137,122,608
290,Female,48,Active,Rural,199,151,628
291,Female,27,Active,Suburban,177,90,434
292,Male,55,Sedentary,Urban,85,60,301
293,Male,39,Active,Urban,174,98,410
294,Female,31,Moderate,Urban,126,66,403
295,Female,26,Moderate,Suburban,116,113,385
296,Female,35,Moderate,Rural,117,79,303
297,Male,25,Active,Suburban,168,117,474
298,Female,55,Active,Urban,173,130,382
299,Male,32,Moderate,Urban,122,100,414
300,Female,32,Active,Urban,153,90,712
301,Female,23,Sedentary,Urban,61,33,189
302,Male,29,Sedentary,Suburban,90,85,237
303,Male,59,Sedentary,Suburban,57,50,242
304,Male,36,Sedentary,Rural,60,56,123
305,Female,57,Moderate,Urban,128,80,492
306,Female,22,Active,Suburban,198,122,695
307,Male,44,Sedentary,Suburban,95,87,430
308,Female,27,Moderate,Urban,115,88,527
309,Male,31,Sedentary,Suburban,83,75,330
310,Male,51,Active,Urban,165,94,707
311,Female,32,Sedentary,Rural,67,34,253
312,Female,46,Sedentary,Urban,82,81,245
313,Female,43,Sedentary,Urban,77,74,316
314,Female,44,Sedentary,Suburban,86,54,211
315,Female,20,Active,Rural,157,131,402
316,Female,20,Moderate,Rural,106,54,308
317,Female,52,Sedentary,Suburban,82,80,287
318,Male,52,Moderate,Rural,148,142,420
319,Male,23,Active,Rural,163,88,665
320,Female,31,Active,Urban,167,153,677
321,Male,43,Sedentary,Suburban,95,71,395
322,Male,20,Moderate,Rural,137,134,646
323,Male,50,Sedentary,Rural,95,60,231
324,Male,59,Active,Rural,158,131,514
325,Female,30,Sedentary,Urban,75,43,156
326,Male,46,Sedentary,Urban,93,81,301
327,Male,26,Moderate,Suburban,112,58,243
328,Female,49,Active,Suburban,158,131,569
329,Male,39,Sedentary,Urban,71,67,202
330,Male,39,Sedentary,Suburban,72,58,245
331,Female,51,Sedentary,Suburban,75,68,210
332,Male,27,Moderate,Suburban,127,92,293
333,Female,42,Active,Urban,166,145,772
334,Female,29,Sedentary,Urban,67,57,265
335,Female,20,Sedentary,Rural,75,67,211
336,Male,36,Sedentary,Rural,61,51,267
337,Male,50,Active,Rural,159,114,447
338,Female,43,Moderate,Rural,124,108,320
339,Female,30,Moderate,Suburban,146,104,470
340,Female,24,Sedentary,Suburban,52,42,180
341,Male,51,Sedentary,Urban,52,29,185
342,Male,39,Moderate,Suburban,134,80,667
343,Female,37,Moderate,Suburban,111,65,287
344,Male,40,Moderate,Suburban,132,78,293
345,Male,31,Sedentary,Rural,75,54,162
346,Female,47,Sedentary,Urban,53,52,138
347,Male,40,Moderate,Rural,114,73,489
348,Male,36,Moderate,Suburban,104,84,517
349,Female,56,Active,Suburban,165,127,481
350,Male,58,Sedentary,Urban,54,29,232
351,Male,53,Active,Rural,176,163,520
352,Male,23,Moderate,Suburban,124,116,584
353,Female,40,Sedentary,Urban,98,68,373
354,Male,27,Sedentary,Suburban,84,56,328
355,Male,52,Active,Suburban,152,146,441
356,Male,38,Active,Urban,190,184,547
357,Male,49,Active,Urban,155,109,581
358,Male,47,Active,Suburban,173,145,722
359,Female,50,Sedentary,Urban,59,39,289
360,Male,23,Moderate,Suburban,121,62,497
361,Female,22,Moderate,Rural,139,87,573
362,Male,32,Moderate,Suburban,112,91,290
363,Female,42,Active,Urban,171,104,728
364,Female,30,Moderate,Rural,121,103,406
365,Male,23,Active,Urban,187,110,675
366,Female,54,Active,Suburban,154,149,644
367,Male,19,Moderate,Urban,111,80,510
368,Female,34,Moderate,Suburban,132,101,612
369,Male,41,Moderate,Urban,121,77,258
370,Male,29,Sedentary,Urban,93,69,207
371,Male,31,Active,Suburban,193,164,596
372,Male,24,Sedentary,Rural,79,77,364
373,Female,43,Moderate,Suburban,145,106,614
374,Male,49,Sedentary,Rural,55,51,120
375,Male,46,Sedentary,Rural,71,68,262
376,Male,56,Moderate,Rural,143,125,363
377,Female,26,Moderate,Rural,108,73,423
378,Male,31,Active,Suburban,166,99,621
379,Female,34,Active,Suburban,191,169,827
380,Female,42,Sedentary,Rural,83,76,365
381,Male,47,Moderate,Rural,118,110,349
382,Female,46,Active,Rural,182,177,869
383,Male,46,Active,Rural,151,146,650
384,Female,35,Sedentary,Rural,91,51,358
385,Male,48,Sedentary,Rural,78,69,185
386,Male,36,Sedentary,Urban,84,66,278
387,Male,34,Moderate,Rural,103,99,440
388,Female,23,Active,Urban,187,109,391
389,Female,29,Active,Suburban,195,115,770
390,Female,55,Active,Suburban,199,194,428
391,Female,20,Sedentary,Rural,82,62,356
392,Male,52,Moderate,Suburban,140,115,570
393,Male,50,Sedentary,Suburban,93,62,347
394,Female,46,Sedentary,Rural,78,44,156
395,Female,20,Moderate,Suburban,126,74,511
396,Female,22,Moderate,Suburban,115,108,496
397,Female,31,Sedentary,Rural,69,59,293
398,Male,53,Moderate,Rural,141,135,385
399,Male,45,Sedentary,Rural,75,63,246
400,Male,58,Active,Urban,156,131,613
401,Female,49,Moderate,Rural,135,87,559
402,Female,35,Active,Suburban,172,119,478
403,Female,59,Moderate,Rural,125,101,557
404,Female,57,Sedentary,Urban,98,65,426
405,Male,30,Sedentary,Suburban,74,73,337
406,Male,19,Sedentary,Urban,64,33,266
407,Female,42,Sedentary,Suburban,81,69,178
408,Male,37,Sedentary,Rural,73,39,265
409,Male,24,Sedentary,Urban,99,94,229
410,Male,28,Moderate,Rural,118,61,239
411,Male,22,Moderate,Suburban,124,70,268
412,Female,46,Active,Rural,172,99,394
413,Male,35,Moderate,Rural,115,67,499
414,Male,25,Moderate,Suburban,106,57,397
415,Male,44,Active,Urban,189,186,458
416,Male,59,Active,Suburban,179,113,443
417,Female,19,Sedentary,Suburban,93,50,289
418,Male,52,Active,Rural,177,163,814
419,Male,43,Active,Suburban,170,133,779
420,Female,40,Moderate,Urban,120,96,277
421,Female,22,Sedentary,Suburban,58,33,245
422,Female,33,Active,Suburban,152,118,633
423,Female,59,Sedentary,Rural,84,50,335
424,Female,28,Sedentary,Urban,97,79,251
425,Female,36,Active,Rural,183,115,805
426,Male,33,Active,Rural,181,111,717
427,Male,49,Active,Urban,170,164,819
428,Female,29,Active,Urban,170,112,591
429,Male,19,Sedentary,Suburban,68,47,159
430,Male,39,Moderate,Urban,119,90,439
431,Male,43,Sedentary,Rural,50,44,200
432,Male,50,Sedentary,Urban,64,39,222
433,Male,41,Sedentary,Urban,77,47,223
434,Female,22,Active,Urban,164,128,546
435,Male,38,Active,Rural,159,99,336
436,Male,35,Moderate,Suburban,103,72,499
437,Female,56,Moderate,Suburban,114,62,341
438,Male,22,Moderate,Rural,110,98,377
439,Male,25,Sedentary,Suburban,89,67,263
440,Male,38,Moderate,Suburban,129,109,499
441,Male,22,Sedentary,Rural,55,32,135
442,Male,30,Active,Rural,168,85,403
443,Male,36,Sedentary,Suburban,54,41,206
444,Female,46,Active,Urban,178,152,592
445,Male,19,Active,Suburban,161,152,460
446,Female,54,Moderate,Urban,107,78,345
447,Female,43,Active,Rural,183,182,838
448,Male,46,Moderate,Urban,143,105,464
449,Male,22,Moderate,Urban,138,97,360
450,Male,49,Moderate,Urban,135,126,540
451,Female,55,Sedentary,Rural,99,78,308
452,Female,19,Moderate,Suburban,111,104,411
453,Female,22,Moderate,Suburban,104,78,472
454,Male,50,Active,Urban,189,128,518
455,Female,52,Sedentary,Suburban,94,90,426
456,Male,36,Moderate,Rural,145,139,342
457,Male,32,Moderate,Rural,144,72,298
458,Female,52,Moderate,Rural,149,82,591
459,Female,25,Active,Rural,172,98,732
460,Male,18,Active,Suburban,174,96,480
461,Female,55,Active,Urban,171,126,442
462,Female,39,Moderate,Urban,119,86,514
463,Male,34,Moderate,Urban,110,83,288
464,Female,33,Moderate,Rural,136,116,644
465,Female,18,Moderate,Suburban,104,84,508
466,Male,20,Moderate,Suburban,135,74,641
467,Male,23,Active,Suburban,155,91,452
468,Female,20,Moderate,Suburban,147,81,354
469,Female,47,Sedentary,Suburban,54,52,233
470,Female,28,Moderate,Suburban,138,103,541
471,Male,44,Active,Urban,176,167,372
472,Female,39,Moderate,Rural,111,63,341
473,Male,23,Sedentary,Urban,78,61,194
474,Male,55,Moderate,Suburban,142,92,338
475,Male,58,Sedentary,Rural,80,49,206
476,Male,48,Sedentary,Rural,91,71,229
477,Female,23,Active,Rural,188,181,456
478,Female,37,Sedentary,Rural,94,65,368
479,Female,58,Moderate,Suburban,124,116,479
480,Female,28,Sedentary,Suburban,71,48,267
481,Female,19,Moderate,Rural,127,74,344
482,Male,48,Moderate,Suburban,123,82,412
483,Male,55,Moderate,Rural,140,92,351
484,Female,43,Moderate,Suburban,127,112,602
485,Female,44,Active,Rural,164,120,399
486,Female,48,Moderate,Suburban,127,95,264
487,Female,41,Active,Urban,191,119,543
488,Male,30,Sedentary,Urban,71,36,320
489,Female,42,Moderate,Suburban,115,67,435
490,Male,54,Sedentary,Suburban,81,61,230
491,Male,58,Active,Urban,185,178,687
492,Female,42,Moderate,Suburban,118,87,551
493,Male,46,Moderate,Rural,108,71,316
494,Female,48,Active,Suburban,166,137,349
495,Male,56,Sedentary,Suburban,76,58,280
496,Male,19,Active,Urban,181,103,676
497,Male,29,Sedentary,Urban,95,60,350
498,Male,22,Sedentary,Suburban,85,80,289
499,Male,44,Sedentary,Rural,61,42,274
500,Female,51,Moderate,Suburban,114,76,261
501,Male,31,Active,Rural,163,110,689
502,Female,24,Moderate,Rural,112,69,316
503,Female,54,Active,Suburban,175,153,438
504,Male,53,Sedentary,Rural,76,53,317
505,Female,27,Moderate,Urban,110,83,266
506,Male,46,Moderate,Rural,123,89,407
507,Female,33,Moderate,Rural,110,74,367
508,Female,55,Sedentary,Rural,58,52,266
509,Male,38,Active,Urban,185,182,906
510,Female,55,Sedentary,Urban,74,69,306
511,Female,58,Moderate,Suburban,109,92,296
512,Female,50,Moderate,Rural,100,65,258
513,Male,46,Sedentary,Urban,51,27,244
514,Female,34,Moderate,Rural,131,114,628
515,Female,30,Moderate,Rural,126,98,354
516,Male,23,Active,Suburban,173,93,352
517,Female,19,Active,Rural,153,85,621
518,Male,25,Active,Urban,174,128,443
519,Female,49,Active,Suburban,181,121,691
520,Female,53,Active,Suburban,158,103,532
521,Female,26,Active,Rural,190,110,779
522,Male,40,Moderate,Rural,129,101,518
523,Female,24,Moderate,Urban,106,65,475
524,Male,48,Active,Rural,182,152,479
525,Male,38,Sedentary,Urban,69,65,266
526,Female,18,Active,Rural,176,107,798
527,Female,19,Moderate,Urban,113,70,487
528,Male,57,Sedentary,Rural,51,31,222
529,Female,28,Sedentary,Suburban,81,44,375
530,Female,54,Sedentary,Urban,77,69,246
531,Female,35,Moderate,Suburban,139,71,595
532,Female,41,Sedentary,Suburban,80,52,229
533,Male,36,Moderate,Suburban,120,114,253
534,Female,22,Moderate,Suburban,124,68,354
535,Male,46,Active,Urban,171,116,629
536,Male,56,Moderate,Rural,141,121,362
537,Male,19,Sedentary,Suburban,89,81,367
538,Male,34,Moderate,Rural,120,85,538
539,Male,28,Moderate,Urban,102,88,459
540,Male,54,Active,Rural,188,163,588
541,Male,30,Active,Urban,194,142,912
542,Female,46,Moderate,Rural,108,58,258
543,Female,49,Moderate,Urban,106,90,255
544,Male,57,Moderate,Urban,143,138,407
545,Female,25,Active,Rural,162,124,786
546,Female,27,Active,Suburban,189,170,868
547,Female,42,Sedentary,Suburban,92,71,376
548,Female,28,Sedentary,Rural,62,55,164
549,Male,45,Sedentary,Suburban,72,59,186
550,Female,50,Sedentary,Suburban,90,83,289
551,Male,56,Active,Urban,159,138,702
552,Female,43,Active,Rural,161,125,576
553,Female,25,Moderate,Suburban,128,74,488
554,Male,55,Sedentary,Suburban,66,52,189
555,Male,43,Moderate,Suburban,137,73,485
556,Male,49,Moderate,Rural,109,63,499
557,Female,45,Active,Suburban,166,135,537
558,Female,24,Moderate,Suburban,104,54,314
559,Female,52,Moderate,Suburban,119,109,411
560,Male,19,Active,Urban,164,148,714
561,Male,39,Active,Rural,172,94,593
562,Male,39,Active,Suburban,193,108,832
563,Male,20,Active,Urban,171,122,623
564,Male,25,Sedentary,Rural,72,66,208
565,Female,21,Sedentary,Urban,59,43,178
566,Male,32,Sedentary,Urban,95,50,449
567,Male,56,Moderate,Rural,128,72,334
568,Female,29,Sedentary,Suburban,93,86,188
569,Male,46,Active,Suburban,164,134,466
570,Male,26,Sedentary,Urban,55,41,116
571,Male,59,Active,Rural,195,164,902
572,Male,57,Sedentary,Rural,72,48,186
573,Female,37,Sedentary,Suburban,77,66,171
574,Male,51,Active,Urban,172,158,533
575,Female,43,Active,Suburban,192,101,527
576,Male,38,Moderate,Rural,136,68,549
577,Female,40,Moderate,Rural,145,133,440
578,Female,35,Moderate,Suburban,120,110,334
579,Male,41,Sedentary,Suburban,87,70,215
580,Female,59,Sedentary,Rural,62,37,174
581,Female,46,Active,Urban,182,167,651
582,Female,55,Active,Rural,156,153,735
583,Male,55,Moderate,Urban,114,105,312
584,Female,30,Active,Suburban,161,156,553
585,Female,49,Sedentary,Suburban,91,83,311
586,Female,36,Active,Urban,178,149,867
587,Male,34,Active,Rural,197,126,687
588,Male,19,Active,Rural,156,107,526
589,Female,35,Active,Urban,177,143,568
590,Female,56,Active,Urban,185,133,590
591,Male,44,Moderate,Urban,103,70,466
592,Female,31,Moderate,Urban,145,73,394
593,Male,32,Sedentary,Rural,93,69,440
594,Female,25,Moderate,Suburban,121,106,375
595,Female,26,Active,Rural,173,134,823
596,Male,38,Moderate,Urban,145,122,663
597,Male,52,Sedentary,Rural,90,47,268
598,Female,31,Moderate,Urban,127,119,334
599,Male,44,Sedentary,Urban,51,28,179
600,Female,25,Sedentary,Urban,92,77,206
601,Female,52,Sedentary,Urban,65,33,136
602,Male,35,Active,Rural,170,142,434
603,Female,31,Sedentary,Urban,72,60,178
604,Female,25,Moderate,Rural,134,111,402
605,Male,25,Moderate,Rural,104,83,516
606,Female,54,Moderate,Suburban,104,76,438
607,Female,19,Sedentary,Rural,51,46,162
608,Female,34,Sedentary,Suburban,58,47,117
609,Female,30,Active,Suburban,194,128,587
610,Male,31,Sedentary,Suburban,65,64,204
611,Female,58,Moderate,Rural,131,72,346
612,Female,58,Active,Suburban,174,106,796
613,Female,26,Moderate,Urban,120,66,325
614,Female,44,Active,Rural,151,93,617
615,Male,37,Sedentary,Urban,55,53,178
616,Male,55,Active,Rural,194,158,781
617,Male,29,Sedentary,Suburban,50,42,158
618,Female,59,Sedentary,Suburban,70,46,345
619,Female,39,Moderate,Rural,148,105,718
620,Male,54,Sedentary,Suburban,84,58,350
621,Male,56,Sedentary,Urban,59,31,197
622,Female,48,Sedentary,Urban,55,30,118
623,Male,30,Moderate,Suburban,128,70,389
624,Female,18,Sedentary,Rural,93,48,229
625,Female,55,Moderate,Rural,113,69,453
626,Female,57,Active,Urban,172,142,587
627,Female,26,Moderate,Suburban,114,63,502
628,Female,56,Moderate,Suburban,105,102,248
629,Female,27,Sedentary,Urban,50,31,124
630,Female,46,Moderate,Rural,137,90,490
631,Female,57,Active,Suburban,187,150,640
